Customer ID,Recency,Frequency,Monetary,Monetary_log
12346.0,326,12,77556.46,11.258774359980725
12347.0,2,8,5633.32,8.63663174483544
12348.0,75,5,2019.4,7.6110507905938976
12349.0,19,4,4428.69,8.39608488316401
12350.0,310,1,334.4,5.815323849389109
12351.0,375,1,300.93,5.710195202428391
12352.0,36,10,2849.84,7.9553689666784315
12353.0,204,2,406.76,6.010678766031786
12354.0,232,1,1079.4,6.985086621918461
12355.0,214,2,947.61,6.854997755239065
12356.0,23,6,6373.68,8.76008917268833
12357.0,33,3,18287.66,9.814036474622236
12358.0,2,5,3887.07,8.265668169533484
12359.0,58,10,8935.94,9.097948527696552
12360.0,52,8,4252.89,8.355589137409874
12361.0,287,4,511.25,6.238812787119009
12362.0,3,11,5356.23,8.586202329437555
12363.0,110,2,552.0,6.315358001522335
12364.0,8,4,1313.1,7.180907299649593
12365.0,291,2,641.38,6.465180028897591
12366.0,634,1,500.24,6.217085028297085
12367.0,4,1,168.9,5.135210028677887
12368.0,628,1,917.6999999999999,6.822959627277421
12369.0,413,3,1791.15,7.491171295388921
12370.0,51,7,4320.31,8.371313876010715
12371.0,45,5,4067.38,8.31100016480189
12372.0,72,3,1298.04,7.169380809114136
12373.0,311,3,1127.65,7.028777507229587
12374.0,25,4,2989.2200000000003,8.003102242273277
12375.0,11,2,457.5,6.127960291696519
12376.0,390,2,503.15,6.222873842839224
12377.0,315,4,3426.32,8.139533893646055
12378.0,130,2,5416.32,8.597356507200939
12379.0,82,4,1620.22,7.390934231218893
12380.0,22,11,9676.300000000001,9.177538215743802
12381.0,5,5,1845.31,7.520944331624911
12383.0,185,5,1850.56,7.523783805985769
12384.0,29,2,585.27,6.373780434317173
12385.0,379,1,1938.4,7.570133925870446
12386.0,338,2,660.8,6.4949633954875114
12387.0,415,1,143.94,4.976319863681136
12388.0,16,8,3901.11,8.269272711457157
12389.0,403,3,1433.33,7.268453120207762
12390.0,80,1,549.84,6.311444385858925
12391.0,22,6,2773.42,7.928196995326099
12392.0,591,1,234.75000000000003,5.462771921513567
12393.0,72,6,2399.4500000000003,7.783411498760109
12394.0,64,2,1272.48,7.149508589545504
12395.0,19,15,5067.27,8.53075481547577
12396.0,674,1,931.43,6.837794081676172
12397.0,36,2,2409.9,7.7877554007552545
12398.0,46,1,1635.6599999999999,7.4004128587924045
12399.0,119,7,1962.3,7.582382009904704
12400.0,414,1,205.25,5.32908902521479
12401.0,303,1,84.3,4.446174454497633
12402.0,323,6,1256.9,7.137198942844827
12403.0,50,2,1019.36,6.927910785185701
12404.0,682,1,63.24,4.162626069638506
12405.0,149,1,1710.39,7.445061184797548
12406.0,22,5,6390.36,8.762702357276806
12407.0,50,5,1708.1200000000001,7.4437338971514055
12408.0,33,8,4340.7699999999995,8.37603737805411
12409.0,79,7,23419.29,10.061358019654037
12410.0,309,3,1013.71,6.9223581363660704
12411.0,410,1,346.9,5.8519150821578965
12412.0,75,6,2596.93,7.862470253064629
12413.0,67,4,999.45,6.908205177762502
12414.0,217,6,952.41,6.860045031492727
12415.0,24,28,144458.37,11.88075357052652
12416.0,657,1,202.56,5.315960801720632
12417.0,3,20,6816.91,8.827308252258714
12418.0,113,4,2021.2,7.6119413066572985
12419.0,386,2,503.01,6.222596109144375
12420.0,64,1,600.39,6.3992436425478765
12421.0,16,6,1098.6,7.00270175629109
12422.0,96,17,5231.8,8.562701786647002
12423.0,1,10,2622.39,7.872222653526559
12424.0,163,4,3340.03,8.114034421663943
12425.0,78,2,1741.41,7.4630244913725114
12426.0,195,2,1345.21,7.205048515865767
12427.0,22,3,1129.3,7.030238363196686
12428.0,26,9,7956.46,8.981865132439246
12429.0,9,8,7485.91,8.920911441322318
12430.0,43,1,256.4,5.5506312951620265
12431.0,36,27,10857.97,9.292746745527754
12432.0,43,5,5059.32,8.529185001388596
12433.0,1,10,20581.26,9.93218481871349
12434.0,85,3,1103.43,7.007084643758051
12435.0,80,6,13925.93,9.541579654832375
12436.0,100,1,509.01,6.234430333369278
12437.0,2,39,12683.4,9.44812817095412
12438.0,14,2,2906.85,7.9751692554798295
12439.0,683,2,1158.18,7.055468137579511
12440.0,462,2,859.2,6.757164920349636
12441.0,367,1,347.1,5.8524897948173935
12442.0,3,1,172.06,5.153638355178593
12443.0,732,1,485.31,6.186846280636522
12444.0,21,5,5005.46,8.518484357502437
12445.0,22,2,434.98,6.077596370737269
12446.0,58,1,1002.3100000000001,6.9110598129904375
12447.0,243,1,476.49,6.168543217293113
12448.0,44,1,449.45,6.110247083097449
12449.0,22,6,4835.89,8.484027231195778
12450.0,156,5,688.2,6.5355315046537745
12451.0,11,8,12669.88,9.447061726309741
12452.0,17,2,430.57,6.067429722163682
12453.0,134,1,707.09,6.562571204258897
12454.0,56,5,16679.78,9.72201243740933
12455.0,73,10,5879.95,8.679473592468364
12456.0,44,3,3181.04,8.065277779528966
12457.0,66,8,2995.91,8.005337036835723
12458.0,71,4,1777.49,7.483519968656931
12459.0,605,1,454.36,6.121088314901487
12460.0,456,1,326.65,5.791945965485506
12461.0,94,2,826.88,6.718868216346018
12462.0,19,2,1189.59,7.082204261557526
12463.0,53,4,1344.78,7.204729049594601
12464.0,10,8,1212.05,7.100893128209941
12465.0,17,2,742.1899999999999,6.610951732080795
12466.0,682,1,56.73,4.055776969072842
